video_id,seat_id,is_error,run_length
video_0007_0_10_20251014102214_20251014104108,2,True,1
video_0007_0_10_20251014102214_20251014104108,2,True,1
video_0007_0_10_20251014102214_20251014104108,2,True,6
video_0007_0_10_20251014102214_20251014104108,2,True,1
video_0007_0_10_20251014102214_20251014104108,2,True,1
video_0007_0_10_20251014102214_20251014104108,2,True,3
video_0007_0_10_20251014102214_20251014104108,2,True,2
video_0007_0_10_20251014102214_20251014104108,2,True,1
video_0007_0_10_20251014102214_20251014104108,3,True,1
video_0007_0_10_20251014102214_20251014104108,3,True,2
video_0007_0_10_20251014102214_20251014104108,3,True,1
video_0007_0_10_20251014102214_20251014104108,3,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,8
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,14
video_0007_0_10_20251014102214_20251014104108,5,True,2
video_0007_0_10_20251014102214_20251014104108,5,True,4
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,12
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,3
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,2
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,6
video_0007_0_10_20251014102214_20251014104108,5,True,2
video_0007_0_10_20251014102214_20251014104108,5,True,7
video_0007_0_10_20251014102214_20251014104108,5,True,2
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,5,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,2
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,2
video_0007_0_10_20251014102214_20251014104108,6,True,2
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,6,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,19
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,14
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,7,True,1
video_0007_0_10_20251014102214_20251014104108,12,True,3
video_0007_0_10_20251014102214_20251014104108,12,True,1
video_0007_0_10_20251014102214_20251014104108,12,True,6
video_0007_0_10_20251014102214_20251014104108,12,True,2
video_0007_0_10_20251014102214_20251014104108,12,True,1
video_0007_0_10_20251017111237_20251017112537,0,True,1
video_0007_0_10_20251017111237_20251017112537,0,True,1
video_0007_0_10_20251017111237_20251017112537,2,True,4
video_0007_0_10_20251017111237_20251017112537,2,True,1
video_0007_0_10_20251017111237_20251017112537,3,True,1
video_0007_0_10_20251017111237_20251017112537,4,True,2
video_0007_0_10_20251017111237_20251017112537,4,True,1
video_0007_0_10_20251017111237_20251017112537,4,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,2
video_0007_0_10_20251017111237_20251017112537,7,True,2
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,1
video_0007_0_10_20251017111237_20251017112537,7,True,2
video_0007_0_10_20251017111237_20251017112537,7,True,2
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,6
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,6
video_0007_0_10_20251017111237_20251017112537,8,True,3
video_0007_0_10_20251017111237_20251017112537,8,True,3
video_0007_0_10_20251017111237_20251017112537,8,True,3
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,2
video_0007_0_10_20251017111237_20251017112537,8,True,2
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,2
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,4
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,2
video_0007_0_10_20251017111237_20251017112537,8,True,1
video_0007_0_10_20251017111237_20251017112537,8,True,20
video_0007_0_10_20251017111237_20251017112537,8,True,5
video_0007_0_10_20251017111237_20251017112537,8,True,1
